load exprat type assets return5 return1 name
  2  1.06  2  15251.8  117.37  44.90 Fidelity_Magellan           
  3  0.37  4   7708.8   62.81  37.13 Windsor_Funds               
  1  0.55  4   7642.7   92.03  30.22 Investment_Co_of_America    
  1  0.77  4   6791.9   81.47  32.80 Washington_Mutual_Inv       
  2  0.65  5   4789.8   62.37  27.68 Fidelity_Puritan            
  2  0.70  5   4089.1   56.44  31.32 Fidelity_Equity-Inc         
  1  0.75  4   3999.0   61.10  24.55 Pioneer_II                  
  1  0.60  4   3899.4   72.48  23.88 American_Mutual             
  3  1.00  2   3761.3   89.36  27.39 Twentieth_Cent:Select       
  1  0.50  4   3379.4   67.40  26.61 Affiliated_Fund             
  3  1.51  4   3188.2   79.74  34.29 Dean_Witter_Divid_Gro       
  3  0.22  4   3044.0   94.74  32.52 Vanguard_Index:_500_Port   
  3  0.52  4   2922.8   77.97  34.05 Windsor_Funds_II            
  3  0.85  4   2700.6   79.76  24.18 Mutual:Shares             
  1  0.67  5   2660.1   66.01  25.21 Income_Fund_of_America      
  1  0.79  2   2562.6  108.12  39.24 Growth_Fund_of_America      
  3  1.00  1   2550.1  133.87  50.18 Twentieth_Cent:Growth     
  3  0.77  4   2465.8   68.69  26.06 Dreyfus_Fund                
  2  0.87  4   2433.0  117.32  44.77 Fidelity_Growth&Income    
  1  0.89  4   2395.3   83.91  26.75 Putnam_Growth&Income      
  1  0.88  2   2348.9   74.19  32.16 Amer_Cap_Pace               
  1  0.79  2   2201.4   92.48  44.07 Amcap_Fund                  
  1  0.53  2   2023.9  111.57  52.30 Fidelity_Destiny_I          
  3  1.02  1   1959.9  133.41  37.28 Janus_Fund                  
  1  0.68  5   1894.9   99.54  33.69 United:Income             
  3  0.81  2   1715.0   83.64  45.45 Nicholas_Fund               
  1  1.30  2   1700.0  136.68  45.00 AIM_Equity:Weingarten_Eq  
  1  0.70  5   1642.4   61.67  24.67 Del_Gr_Decatur:I           
  3  0.76  2   1576.8   62.28  30.90 T.Rowe_Price:Growth      
  1  0.78  4   1533.0   69.07  25.79 Pioneer_Fund                
  1  0.58  4   1490.7   68.06  29.88 Merrill_Basic_Value:A      
  3  0.98  1   1454.4   91.58  35.71 Fidelity_Retirement_Gr      
  1  0.63  4   1417.6   94.73  26.53 IDS_Stock                   
  1  0.80  2   1410.4   94.40  26.82 Shearson_Appreciation       
  1  0.79  5   1392.6   71.36  16.82 Oppenheimer_Equ_Income      
  1  0.47  4   1384.3   99.85  28.10 Mass_Investors_Trust        
  2  1.14  1   1338.8      NA  20.79 Fidelity_Capital_Apprec     
  1  0.88  2   1316.4  133.25  45.77 IDS_New_Dimensions          
  3  0.66  4   1256.9   84.07  28.06 Fidelity_Fund               
  3  0.21  2   1192.9   80.79  32.16 Ge_S&S_Prgrm:Mutual_Fund
